model,layer,head,label,rel_depth,locality_score,match_entropy,delta_collapse,mean_distance,bos_mass,local_mass,long_range_mass,mean_max_attn,mean_entropy_ss,vq_ratio_atlas,mean_output_norm,wq_norm,wk_norm,wv_norm,wo_norm,vq_ratio_weight,ov_norm,ov_eff_rank,ov_sv1,ov_sv2,ov_sv3,qk_eff_rank,qk_sv1,qk_sv2,qk_sv3,head_dim,is_gqa,gqa_group_size,gqa_within_group_rank
GPT-2,2,9,local,0.08333333333333333,,2.30026,-0.02528,11.8154,0.0057,0.4396,0.0492,0.2156,2.8649,0.8188,3.9329,26.999067306518555,24.54727554321289,22.10713768005371,18.18901252746582,0.8188111622180159,57.95098876953125,54.72996139526367,29.877106,19.052671,12.641444,43.4650993347168,27.576422,21.76126,15.223298,64,0,1,0
GPT-2,2,10,local,0.08333333333333333,,1.96867,0.10549,7.6438,0.0069,0.4875,0.0253,0.2699,2.374,0.5603,3.9329,38.8923225402832,33.263763427734375,21.791643142700195,18.59682846069336,0.5603070662629795,52.680641174316406,60.5029182434082,14.741571,12.1555605,10.270361,49.07701873779297,63.996586,54.024036,33.22409,64,0,1,0
GPT-2,2,11,local,0.08333333333333333,,2.42972,0.00078,89.4657,0.1513,0.0291,0.7181,0.1568,3.8414,1.2621,3.9329,12.003539085388184,13.695738792419434,15.149218559265137,14.088654518127441,1.262062667643154,43.17362594604492,39.398170471191406,36.00521,10.638604,7.920352,24.322404861450195,10.897859,9.013435,5.5726495,64,0,1,0
GPT-2,2,12,local,0.08333333333333333,,2.01805,-0.0123,16.6118,0.0268,0.2698,0.0916,0.1981,2.9366,0.6974,3.9329,34.455623626708984,35.32560729980469,24.03053855895996,25.011507034301758,0.6974344397101986,115.37006378173828,43.164573669433594,102.39593,13.088681,10.548253,42.59619903564453,28.161388,24.545818,19.048935,64,0,1,0
GPT-2,2,13,local,0.08333333333333333,,2.25118,-0.02056,56.4497,0.3028,0.1581,0.4353,0.3102,2.9385,1.2567,3.9329,15.031810760498047,14.166951179504395,18.890729904174805,14.58327579498291,1.2567168523579553,45.38597869873047,47.43258285522461,24.313225,20.424793,16.41783,27.284698486328125,18.435062,9.542771,7.778063,64,0,1,0
GPT-2,2,14,local,0.08333333333333333,,2.62502,-0.06529,15.4073,0.0082,0.2044,0.11,0.0928,3.6336,1.0112,3.9329,25.319385528564453,22.893373489379883,25.602405548095703,19.043182373046875,1.0111779971599606,80.00809478759766,48.846038818359375,47.858723,22.050034,21.312134,45.487518310546875,12.537056,10.215501,8.426598,64,0,1,0
GPT-2,2,15,local,0.08333333333333333,,2.3089,-0.15064,10.6992,0.0139,0.4174,0.0429,0.1872,2.8359,0.5837,3.9329,36.48823165893555,32.961360931396484,21.298194885253906,17.594255447387695,0.5837003854923082,48.67317581176758,60.37190628051758,13.919909,10.750357,10.223944,53.08422088623047,29.968616,27.577602,24.096485,64,0,1,0
GPT-2,3,0,local,0.125,,1.93241,-0.10608,44.3519,0.1263,0.049,0.4603,0.1732,3.553,0.6465,2.4397,40.74850845336914,40.38468933105469,26.34574317932129,22.100370407104492,0.6465449700930671,73.90735626220703,60.72055435180664,27.418716,16.433298,13.097283,50.849998474121094,35.136703,27.309502,25.403801,64,0,1,0
GPT-2,3,1,local,0.125,,1.87013,-0.03989,4.2203,0.0106,0.2503,0.0122,0.5391,1.8222,0.7476,2.4397,28.914445877075195,25.880599975585938,21.616117477416992,16.272480010986328,0.7475888546961426,46.669559478759766,58.798301696777344,16.006838,12.6837,9.860177,39.91923904418945,24.004293,20.406532,13.8149395,64,0,1,0
GPT-2,3,2,local,0.125,,1.47516,-0.0663,10.5171,0.0613,0.4977,0.0569,0.2997,2.0887,0.438,2.4397,44.44590377807617,36.016029357910156,19.46894073486328,16.623146057128906,0.43803678359368375,40.284400939941406,63.41516876220703,7.0483727,6.61848,6.241765,53.83229064941406,39.391396,24.429697,23.841425,64,0,1,0
GPT-2,3,3,local,0.125,,1.2549,-0.02366,7.6994,0.0584,0.3995,0.0472,0.5347,1.3397,0.3685,2.4397,54.36985397338867,39.80657196044922,20.035917282104492,18.436792373657227,0.36851151544219163,45.999935150146484,63.120418548583984,9.761266,8.181637,7.4739585,53.40767288208008,47.49424,39.687973,34.877666,64,0,1,0
GPT-2,3,4,local,0.125,,2.40423,0.00672,9.7184,0.0209,0.4412,0.0379,0.1783,2.8453,0.9987,2.4397,24.233415603637695,21.96653175354004,24.201107025146484,19.63640594482422,0.9986667757025816,65.45997619628906,55.584224700927734,30.95945,18.389397,15.437346,39.49720001220703,20.920208,12.848829,9.996162,64,0,1,0
GPT-2,3,5,local,0.125,,1.74904,0.01524,8.1446,0.0437,0.532,0.0398,0.3133,2.104,0.6147,2.4397,32.67531967163086,27.960742950439453,20.085107803344727,16.089584350585938,0.6146874156148582,41.6840705871582,60.39635467529297,11.925581,11.188904,8.350919,47.85636520385742,23.891956,23.399961,19.157393,64,0,1,0
GPT-2,3,6,local,0.125,,2.52662,-0.04453,83.9178,0.1661,0.0998,0.5786,0.1704,3.5811,0.9623,2.4397,16.662879943847656,18.407297134399414,16.03490447998047,13.804658889770508,0.9623129095339841,30.041343688964844,56.06806564331055,15.275445,8.059917,6.5874796,33.42091751098633,13.143066,9.391828,8.327263,64,0,1,0
GPT-2,3,7,local,0.125,,1.68168,-0.06412,56.9988,0.3918,0.2342,0.3848,0.3918,2.3537,0.9323,2.4397,21.223852157592773,23.729034423828125,19.787452697753906,14.106882095336914,0.9323214537505186,35.40478515625,61.55048751831055,9.897436,8.044597,6.9872947,43.32738494873047,16.422554,11.812729,8.904827,64,0,1,0
GPT-2,3,8,local,0.125,,1.64966,-0.04251,5.7184,0.0455,0.6434,0.0342,0.3412,1.8211,0.4263,2.4397,44.54849624633789,34.780548095703125,18.992658615112305,16.6584415435791,0.42633669406233143,39.71828842163086,62.52289581298828,7.9163194,7.1921225,6.8995433,53.448753356933594,39.828876,31.119307,27.176361,64,0,1,0
GPT-2,3,9,local,0.125,,1.71061,0.06014,4.295,0.0161,0.4257,0.0144,0.3978,1.8291,0.5894,2.4397,36.49020004272461,30.739410400390625,21.506572723388672,17.004194259643555,0.5893794141497464,47.262027740478516,60.38325881958008,12.718002,11.574734,10.606976,54.68608856201172,21.417679,17.43524,15.256483,64,0,1,0
GPT-2,3,10,local,0.125,,1.82673,0.01043,8.4516,0.0518,0.6045,0.0478,0.3065,2.0696,0.508,2.4397,37.452735900878906,31.292530059814453,19.02713394165039,16.076637268066406,0.5080305479419828,39.15507507324219,61.13367462158203,10.314556,9.338363,7.47227,50.47013854980469,36.987595,23.97142,21.702192,64,0,1,0
GPT-2,3,11,local,0.125,,1.26381,-0.00885,10.8638,0.0643,0.5041,0.0619,0.2979,2.0725,0.4937,2.4397,39.88185119628906,32.99031066894531,19.68954849243164,16.56155776977539,0.49369695492628546,41.40959930419922,62.0018310546875,9.4412775,8.567221,7.4789667,50.65711975097656,38.336002,26.54086,23.034359,64,0,1,0
GPT-2,3,12,local,0.125,,1.96959,0.0437,56.5695,0.0821,0.05,0.5558,0.0936,4.113,0.6974,2.4397,40.828819274902344,39.827449798583984,28.474292755126953,23.742238998413086,0.6974067156683497,88.89260864257812,59.86294174194336,20.578627,18.815975,18.134111,44.55887222290039,50.23986,35.6254,32.69172,64,0,1,0
GPT-2,3,13,local,0.125,,1.32289,-0.02784,1.7815,0.0046,0.725,0.0039,0.4847,1.3758,0.4258,2.4397,42.03141403198242,32.747314453125,17.89810562133789,15.606245040893555,0.42582687338852054,35.554901123046875,61.48915100097656,8.616261,7.4504805,6.920704,56.03583908081055,49.245117,37.707302,22.737734,64,0,1,0
GPT-2,3,14,local,0.125,,2.00626,0.00841,23.9484,0.13,0.1218,0.1648,0.1886,3.034,0.6695,2.4397,35.51799011230469,34.74555587768555,23.78076934814453,18.292409896850586,0.6695415273485692,56.756099700927734,59.77107238769531,16.772112,12.918681,12.410607,43.846797943115234,37.708435,25.99475,24.30397,64,0,1,0
GPT-2,3,15,local,0.125,,1.55385,0.0235,5.7154,0.0319,0.5491,0.0272,0.3468,1.9068,0.5039,2.4397,38.03245544433594,31.082359313964844,19.16348648071289,15.93928337097168,0.5038719235143769,38.96724319458008,61.34040832519531,10.145753,8.915098,7.623854,53.89449691772461,34.85721,23.767357,22.388939,64,0,1,0
GPT-2,4,0,local,0.16666666666666666,,1.81891,-0.35041,56.689,0.1997,0.059,0.5418,0.2014,3.8033,0.6066,2.6564,37.13325500488281,37.147159576416016,22.523778915405273,20.50230598449707,0.606566241296189,59.10635757446289,61.369842529296875,17.751017,11.419442,11.004575,47.215057373046875,21.762632,19.237917,15.80408,64,0,1,0
GPT-2,4,1,local,0.16666666666666666,,1.85041,-0.04087,22.0726,0.1719,0.37,0.1543,0.321,2.0485,0.6228,2.6564,32.2176628112793,30.062105178833008,20.064165115356445,17.293529510498047,0.6227691075198485,44.25093078613281,61.1320686340332,15.539357,9.156166,8.343169,51.78696823120117,13.86662,11.635828,11.394063,64,0,1,0
GPT-2,4,2,local,0.16666666666666666,,1.54674,-0.01465,73.9642,0.6062,0.1499,0.5433,0.6191,1.2602,0.524,2.6564,35.53134536743164,33.387298583984375,18.61744499206543,16.931047439575195,0.5239724192692637,39.37455749511719,63.41525650024414,7.7910657,5.9131594,5.850134,49.72394943237305,18.235916,16.738966,15.216115,64,0,1,0
GPT-2,4,3,local,0.16666666666666666,,1.23373,0.0226,17.1215,0.1242,0.435,0.1093,0.4192,1.6796,0.4479,2.6564,39.323524475097656,35.388877868652344,17.611827850341797,15.727082252502441,0.44787002399783266,35.102989196777344,61.51609802246094,9.28459,7.2272162,7.1688046,48.75907516479492,30.192608,26.64324,23.416353,64,0,1,0
GPT-2,4,4,local,0.16666666666666666,,1.59684,0.02648,19.6185,0.1555,0.2431,0.1379,0.5122,1.5511,0.4943,2.6564,36.28868103027344,33.43370819091797,17.939186096191406,16.088788986206055,0.4943466002863356,36.16447448730469,62.098228454589844,12.346115,5.8978615,5.6127076,47.33464813232422,21.67256,21.003712,17.899439,64,0,1,0
GPT-2,4,5,local,0.16666666666666666,,1.69495,0.05448,65.6177,0.5304,0.1406,0.4723,0.5365,1.7541,0.6052,2.6564,33.92677688598633,32.87092971801758,20.531003952026367,18.06526756286621,0.6051563348036819,46.61763381958008,62.79433822631836,9.062035,8.408249,8.103994,53.83404541015625,17.200611,16.975914,12.911426,64,0,1,0
GPT-2,4,6,local,0.16666666666666666,,0.70235,-0.38127,81.8716,0.4155,0.0059,0.776,0.4191,3.0058,0.7009,2.6564,29.91864776611328,28.944538116455078,20.970460891723633,19.911579132080078,0.7009160659819218,58.25977325439453,56.64335250854492,32.04272,14.881302,11.612783,55.04667663574219,38.70657,23.79695,19.082848,64,0,1,0
GPT-2,4,7,local,0.16666666666666666,,1.63952,-0.0605,64.7982,0.5079,0.163,0.462,0.5335,1.5766,0.4825,2.6564,39.1358528137207,36.21895217895508,18.881101608276367,17.25067138671875,0.48245024065647363,40.94036865234375,62.84010314941406,10.2857275,7.1213484,6.6588316,51.15453338623047,15.286756,13.916321,13.469376,64,0,1,0
GPT-2,4,8,local,0.16666666666666666,,1.90011,-0.05623,53.9815,0.423,0.1047,0.4128,0.503,1.8892,0.5295,2.6564,37.097408294677734,35.47279739379883,19.642539978027344,16.840654373168945,0.5294855053484929,41.838409423828125,62.020103454589844,10.048658,9.2227335,8.195189,46.09036636352539,24.535,20.670357,16.528547,64,0,1,0
GPT-2,4,9,local,0.16666666666666666,,1.74728,0.02134,46.8839,0.1636,0.0807,0.4081,0.1711,3.6603,0.7428,2.6564,34.1550407409668,33.456932067871094,25.37041664123535,22.487146377563477,0.7428015335611767,73.60649108886719,61.15274429321289,17.058601,16.209295,14.870983,48.26234817504883,21.269575,15.520027,14.802048,64,0,1,0
GPT-2,4,10,local,0.16666666666666666,,1.98395,-0.367,53.3473,0.338,0.09,0.4426,0.3532,2.5618,0.7573,2.6564,30.464101791381836,30.00188636779785,23.070863723754883,21.42426300048828,0.7573131117320773,62.68351364135742,61.280765533447266,24.863056,10.600325,10.161743,51.457088470458984,14.932831,13.770438,12.33112,64,0,1,0
